下个星期^我跟我朋唷打算去法国玩儿^ 下个星期^我跟我朋友打算去法国玩儿^
对不气^最近我很忙^所以我不会去妳的^ 对不起^最近我很忙^所以我不会去妳的^
真麻烦你了^希望你们好好的跳无^ 真麻烦你了^希望你们好好的跳舞^
美美说应为学校没有冷气^所以今天教室里面热得不得了^ 美美说因为学校没有冷气^所以今天教室里面热得不得了^
张爱文很聪明^老师教他英文^地理什么得^他很快明白了^ 张爱文很聪明^老师教他英文^地理什么的^他很快明白了^
今天下了课^我打算跟我的奴朋友去看电影^所以我有一点儿领张^六点半我就起床了^ 今天下了课^我打算跟我的女朋友去看电影^所以我有一点儿紧张^六点半我就起床了^
我听说这个礼拜六你要开一个误会^可是那天我会很忙^因为我男朋友要回国来看我^ 我听说这个礼拜六你要开一个舞会^可是那天我会很忙^因为我男朋友要回国来看我^
我不能参加你的舞会^因为我有一点生病了^我真的愿意参加可惜我身体不建康^ 我不能参加你的舞会^因为我有一点生病了^我真的愿意参加可惜我身体不健康^
我觉得你们会好好的完^ 我觉得你们会好好的玩^
我真的喜欢去你的会^可是那的时候我有一个重要的考试^ 我真的喜欢去你的会^可是那个时候我有一个重要的考试^
吃了碗饭以后^我们两个人马上去看电影^ 吃了晚饭以后^我们两个人马上去看电影^
我门看美国电影^我觉得很有意事^ 我们看美国电影^我觉得很有意思^
陈先生会说三个语言^西班牙语^华语根日文^ 陈先生会说三个语言^西班牙语^华语跟日文^
到电影院前面^他们一定先要买票在可以进去^ 到电影院前面^他们一定先要买票才可以进去^
小祥有女朋友^他的女朋友是同班同学^而且他们两个是邻住^ 小祥有女朋友^他的女朋友是同班同学^而且他们两个是邻居^
因为上个里拜是我的生日^我想明天跟你一起庆祝^不知道你要不要去吃饭^ 因为上个礼拜是我的生日^我想明天跟你一起庆祝^不知道你要不要去吃饭^
我要跟我的朋友一起去市大夜市吃晚饭^ 我要跟我的朋友一起去师大夜市吃晚饭^
我要请他吃牛肉面^我觉得在市大有一个牛肉面很好吃^ 我要请他吃牛肉面^我觉得在师大有一个牛肉面很好吃^
去年四月王大明决定学中文^可是在他的国家学中文不妨便^想来想去他决定来台湾念一年的中文^ 去年四月王大明决定学中文^可是在他的国家学中文不方便^想来想去他决定来台湾念一年的中文^
幸亏一个小姐会说德问^他说话说得很好^所以他告诉我学校地址^ 幸亏一个小姐会说德文^他说话说得很好^所以他告诉我学校地址^
他正要喝点水^老师就进教师来来了^ 他正要喝点水^老师就进教室来来了^
我听说你要回法国去一个星期^我不知道你可不可以帮我拿回来一平红酒^ 我听说你要回法国去一个星期^我不知道你可不可以帮我拿回来一瓶红酒^
我今天二十三个小时的考试^热后我应该回家到下个星期^所以我觉得我们没有办法见面了^ 我今天二十三个小时的考试^然后我应该回家到下个星期^所以我觉得我们没有办法见面了^
他们见面的时候^台生很高兴^应为外面真么那么热^ 他们见面的时候^台生很高兴^因为外面怎么那么热^
上个周末以前我打算去城市完^可是周末到了因为天气很好我觉得去乡下比较好^ 上个周末以前我打算去城市玩^可是周末到了因为天气很好我觉得去乡下比较好^
他带他的黑色的包^也他的照像机^ 他带他的黑色的包^也他的照相机^
它是真的一个很好的人^ 他是真的一个很好的人^
你们也可以走路也可以做公共汽车^ 你们也可以走路也可以坐公共汽车^
小毛想下个周末跟你们以起玩儿^因为他这个礼拜五有生日^ 小毛想下个周末跟你们一起玩儿^因为他这个礼拜五有生日^
我去公共车从大学到图书权^ 我去公共车从大学到图书馆^
那边又好吃的义大利面^有很亲切的服务生^还有那个地方很热闹^ 那边有好吃的义大利面^有很亲切的服务生^还有那个地方很热闹^
我现在再台湾想请你吃饭^希望你有空跟我一起吃个饭^ 我现在在台湾想请你吃饭^希望你有空跟我一起吃个饭^
我很想妳拉^很久没听你的笑话^ 我很想妳啦^很久没听你的笑话^
如果你答应这件事^情你告诉我^ 如果你答应这件事^请你告诉我^
可是因伪这是他第一次来台湾所以什么地方都他不知道^ 可是因为这是他第一次来台湾所以什么地方都他不知道^
王大卫总于到他的中文课了^ 王大卫终于到他的中文课了^
王大卫总于上他第一天的中文课^ 王大卫终于上他第一天的中文课^
我看火车到的地图^可是我不董^因为我不懂中文^ 我看火车到的地图^可是我不懂^因为我不懂中文^
她会说英文^所以他帮我取火车站^ 她会说英文^所以她帮我去火车站^
他没想到地图上面的子是用中文^不是英文^ 他没想到地图上面的字是用中文^不是英文^
^^^^^很感谢那位奴生^ ^^^^^很感谢那位女生^
他第一天来上中文课^他很惊讶发现中文老师就是帮他找路的那位奴生^ 他第一天来上中文课^他很惊讶发现中文老师就是帮他找路的那位女生^
我吃道你^ 我知道你^
虽然我看地读为了走路去到中文教室^可是在美术馆前面的道路我迷路^ 虽然我看地图为了走路去到中文教室^可是在美术馆前面的道路我迷路^
他很少座捷运去玩^ 他很少坐捷运去玩^
有一天他想座捷运去上中文课^ 有一天他想坐捷运去上中文课^
你要从那个捷运站去到公官站就到了^ 你要从那个捷运站去到公馆站就到了^
老师开始教明星今天的第一个中国子^ 老师开始教明星今天的第一个中国字^
那时后^有一个人开车过来他的地方^他马上请他帮助他^ 那时候^有一个人开车过来他的地方^他马上请他帮助他^
情你们帮我^我弄丢了一本书^ 请你们帮我^我弄丢了一本书^
他们用电脑一边看那些像片一边聊天^ 他们用电脑一边看那些相片一边聊天^
这次署假小花去台北旅行顺便去看她的男朋友^ 这次暑假小花去台北旅行顺便去看她的男朋友^
晚上时他跟她的男朋友用电脑聊天^ 晚上时她跟她的男朋友用电脑聊天^
李伟很会拍照片^所以他派了很多照片^ 李伟很会拍照片^所以他拍了很多照片^
他们最喜欢的地方是高雄的柴山^那里很漂亮友山友海^ 他们最喜欢的地方是高雄的柴山^那里很漂亮有山有海^
我是你得学生^ 我是你的学生^
明天我有很重要得事^没有时间来上课^ 明天我有很重要的事^没有时间来上课^
谢谢老师^那我写到这边先好吧^在两天见面^再见^ 谢谢老师^那我写到这边先好吧^再两天见面^再见^
我明天回家的时候要给你塔电话^告诉你我好不好^ 我明天回家的时候要给你打电话^告诉你我好不好^
我要请你来印尼^我的国家^在印尼有很多好看的地放^ 我要请你来印尼^我的国家^在印尼有很多好看的地方^
在圣文森我住在^^^^^^^^^^^^这里有很有明的花地方^ 在圣文森我住在^^^^^^^^^^^^这里有很有名的花地方^
在台北我已经主了差不多两年了^ 在台北我已经住了差不多两年了^
七个月以前我到台湾学中文因为咖拿大很多人说中文所以很有用^ 七个月以前我到台湾学中文因为加拿大很多人说中文所以很有用^
雄一^不好意思^我明天不能跟你一起丢看电影^ 雄一^不好意思^我明天不能跟你一起去看电影^
最近^我觉得我对台湾过明^ 最近^我觉得我对台湾过敏^
明天我要参架奖学金考试不能来上课^ 明天我要参加奖学金考试不能来上课^
我已经把明天的功课写完了^和放在你的卓子上^ 我已经把明天的功课写完了^和放在你的桌子上^
他起来后^冲忙地赶到公车站^连衣服都没有换^ 他起来后^匆忙地赶到公车站^连衣服都没有换^
他很赤道^所以不换衣服^也不吃早饭^他起床很快^ 他很迟到^所以不换衣服^也不吃早饭^他起床很快^
昨天晚上李大明根其他的朋友去夜店跳舞喝酒^ 昨天晚上李大明跟其他的朋友去夜店跳舞喝酒^
大明只好跟老驰说^^对不起^我知道了^^^ 大明只好跟老师说^^对不起^我知道了^^^
他终于来了^他门才开始小考试^ 他终于来了^他们才开始小考试^
今天他很糊涂^他的书^工课^什么的都不见了^ 今天他很糊涂^他的书^功课^什么的都不见了^
到了教室以后才知道今天并不是期末考^他被老师妈了^ 到了教室以后才知道今天并不是期末考^他被老师骂了^
上课的时候我的中文老师她看起来很生气^我知道是我得错^ 上课的时候我的中文老师她看起来很生气^我知道是我的错^
你现在生体的情形应该好多了吧^ 你现在身体的情形应该好多了吧^
希望你生体好^ 希望你身体好^
你可以路行在越南^ 你可以旅行在越南^
我厅美琴说你病了^有一个月没来上课^ 我听美琴说你病了^有一个月没来上课^
我很担心你的健康^因为你身体一责都不是很好^ 我很担心你的健康^因为你身体一直都不是很好^
我的家有爸爸^吗吗^哥哥跟我^ 我的家有爸爸^妈妈^哥哥跟我^
听说你的身体不好^你是怎码样^ 听说你的身体不好^你是怎么样^
真的不好以思^ 真的不好意思^
情爱的李大明和林小美^恭喜恭喜妳们结婚^我祝妳们很开心^ 亲爱的李大明和林小美^恭喜恭喜妳们结婚^我祝妳们很开心^
我受到了你们的结婚卡^ 我收到了你们的结婚卡^
这是他们的第一次来台湾^他们两个人不可以去玩台呗^ 这是他们的第一次来台湾^他们两个人不可以去玩台北^
听到你们要结婚我非常的高兴^ 听到你们要结婚我非常地高兴^
哪天在美国工作^所以我没办法参加^ 那天在美国工作^所以我没办法参加^
可是今天有下雨^我们真得很难过^ 可是今天有下雨^我们真的很难过^
公园的旁边有一家餐厅^我们一起去哪里吃饭^ 公园的旁边有一家餐厅^我们一起去那里吃饭^
哪一天^我跟爸爸我妹妹还有我的哥哥一起去玩儿^ 那一天^我跟爸爸我妹妹还有我的哥哥一起去玩儿^
我们玩著玩^就开始下大雨了^怎么班呢^ 我们玩著玩^就开始下大雨了^怎么办呢^
他们到的时候天起非常好^ 他们到的时候天气非常好^
突然天黑了^开始下雨了^他们都很快的跑到安全的地方^ 突然天黑了^开始下雨了^他们都很快地跑到安全的地方^
应为食物都没办法吃了^但不得不吃^所以他们只好在那一家餐厅吃中饭^ 因为食物都没办法吃了^但不得不吃^所以他们只好在那一家餐厅吃中饭^
到山上^我门烤肉^吃水果^喝汽水^都好吃^ 到山上^我们烤肉^吃水果^喝汽水^都好吃^
他很用功念书^他希望明天会考的很好^ 他很用功念书^他希望明天会考得很好^
下课以后我建意跟同学一起去^^^唱歌^过了很开心的时间^ 下课以后我建议跟同学一起去^^^唱歌^过了很开心的时间^
虽然我不能跟你一起去^但我希望你可以玩儿得开心^难得的机会好好的放松吧^ 虽然我不能跟你一起去^但我希望你可以玩儿得开心^难得的机会好好地放松吧^
李大明我打算要去法国流行^我想你要不要跟我去^有朋友一起去比较好^ 李大明我打算要去法国旅行^我想你要不要跟我去^有朋友一起去比较好^
应为我的出生在北美洲^ 因为我的出生在北美洲^
我想去到十份^因为我想座平溪线^ 我想去到十份^因为我想坐平溪线^
我觉得在山上看风景很有意思^在哪里野餐也不错^ 我觉得在山上看风景很有意思^在那里野餐也不错^
你觉得真么样^ 你觉得怎么样^
明天我们去玈行吧^你要早一点起来^ 明天我们去旅行吧^你要早一点起来^
我的朋友在哪里说那边有的地方很有名^我们可以去玩吧^ 我的朋友在那里说那边有的地方很有名^我们可以去玩吧^
听说韩国有很多好吃的东西^还有很多化妆品^我很想去哪里买化妆品^ 听说韩国有很多好吃的东西^还有很多化妆品^我很想去那里买化妆品^
我是为了工作没时间有空^他忙著念书^这次我们两个可以见面时真直得的^ 我是为了工作没时间有空^他忙著念书^这次我们两个可以见面时真值得的^
他来的时候我把冰箱全部的采还有啤酒拿出来^ 他来的时候我把冰箱全部的菜还有啤酒拿出来^
刚好有啤酒^那喝把^ 刚好有啤酒^那喝吧^
大明很高兴他喝了很多埤酒^吃了很多东西^ 大明很高兴他喝了很多啤酒^吃了很多东西^
你前看看电视里有什麻好玩的^我去到厨房拿东西^ 你先看看电视里有什么好玩的^我去到厨房拿东西^
他们就卓在沙发上边吃东西边看电视^ 他们就坐在沙发上边吃东西边看电视^
大明说^请座^请座^^ 大明说^请坐^请坐^^
除了帮忙学中文意外^有时候一起去玩向我介绍台湾的文化^ 除了帮忙学中文以外^有时候一起去玩向我介绍台湾的文化^
我们不知道他们的真真的背景^是由于大家会随便写一写自己要写的事情^ 我们不知道他们的真正的背景^是由于大家会随便写一写自己要写的事情^
过了不久^他们不再根我联络了^ 过了不久^他们不再跟我联络了^
我所有跟他们的谈心呢^该不该他们以把它传给别人了^ 我所有跟他们的谈心呢^该不该他们已把它传给别人了^
拿到礼物的人不觉得使用^或一点儿都没有用处也许可能变成当拉圾^ 拿到礼物的人不觉得使用^或一点儿都没有用处也许可能变成当垃圾^
对阿^我也有同样的经验^ 对啊^我也有同样的经验^
但是我好不容易买^张票后^小张说^^我们没有约定吧^我只是说想去厅演唱会而已^并没有拜托你买票啊^^ 但是我好不容易买^张票后^小张说^^我们没有约定吧^我只是说想去听演唱会而已^并没有拜托你买票啊^^
她知道我很用心的去找^虽然不是她所幻想的那一双^其实也挺好看的^ 她知道我很用心地去找^虽然不是她所幻想的那一双^其实也挺好看的^
妳人实在太大方太好了^因该确定人家要买才帮他买的^ 妳人实在太大方太好了^应该确定人家要买才帮他买的^
不用担心啦^这其实是个小事情^不要匆动^ 不用担心啦^这其实是个小事情^不要冲动^
半工半读也可以使学生学习在教室里学不道的东西^书本里的观念到了真正情况下^常常是不同的^ 半工半读也可以使学生学习在教室里学不到的东西^书本里的观念到了真正情况下^常常是不同的^
很多朋友应为大学时半工半读^功课还维持的非常好^老板就很欣赏^给他们工作机会^ 很多朋友因为大学时半工半读^功课还维持得非常好^老板就很欣赏^给他们工作机会^
在读书的时候打工可以发现自己的能力到那些程度而慢慢去培养 在读书的时候打工可以发现自己的能力到哪些程度而慢慢去培养
